Timestamp,"Throughout this course, how often have you done each of the following? [Describe the methods that you chose to solve a quantitative problem and why they were appropriate.]","Throughout this course, how often have you done each of the following? [Carried out calculations, either by hand or using software.]","Throughout this course, how often have you done each of the following? [Created a visual representation of numerical information, such as a graph, table, chart, or diagram.]","Throughout this course, how often have you done each of the following? [Described numerical information (numbers, graphs, statistics, etc.) by writing in words.]","Throughout this course, how often have you done each of the following? [Reached conclusions based on your own analysis of numerical information (numbers, graphs, statistics, etc.)]","Throughout this course, how often have you done each of the following? [Constructed a single, coherent argument using several conclusions that were each based on quantitative evidence.]","Throughout this course, how often have you done each of the following? [Decided when a solution or inference was reasonable or not reasonable in the context of a problem.]","Throughout this course, how often have you done each of the following? [Used quantitative reasoning to examine a real-world problem or issue (unemployment, climate change, public health, etc.)]",Describe how much this course has improved your general quantitative/numerical skills. ,Describe how much this course has improved your ability to apply your quantitative/numerical skills to real-world problems. ,How confident do you feel using numbers in your everyday life?,"Please give an example of a quantitative skill that you developed in this course that you feel will be important in the future (such as in a future class, workplace, or daily life).",How frequently do you... [Do calculations in your everyday life?],How frequently do you... [Encounter graphs and tables in your everyday life?],How frequently do you... [Encounter situations like those you have learned about in this course?],"Please give an example of a time when you used ""quantitative reasoning"" in your daily life."
4/29/24 14:28,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Frequently,Frequently,None,Moderate improvement,3,,Infrequently,Never,Never,
4/30/24 8:39,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,2,,Frequently,Sometimes,Sometimes,
4/30/24 8:39,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
4/30/24 8:42,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,None,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
4/30/24 8:42,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Sometimes,
4/30/24 8:43,Frequently,Infrequently,Never,Infrequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Infrequently,Never,
4/30/24 8:44,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
4/30/24 8:44,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Frequently,Sometimes,
4/30/24 8:44,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Frequently,Frequently,Frequently,
4/30/24 8:46,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 8:46,Frequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Minor improvement,Moderate improvement,2,,Frequently,Infrequently,Infrequently,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,None,Moderate improvement,3,,Sometimes,Sometimes,Frequently,
4/30/24 8:47,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Sometimes,
4/30/24 8:50,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 9:07,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Infrequently,
4/30/24 11:29,Frequently,Frequently,Sometimes,Frequently,Frequently,Never,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Infrequently,Sometimes,
4/30/24 15:08,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Infrequently,Moderate improvement,Minor improvement,4,,Sometimes,Infrequently,Sometimes,
4/30/24 15:16,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Frequently,Sometimes,
4/30/24 16:03,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Major improvement,Major improvement,4,,Sometimes,Infrequently,Infrequently,
4/30/24 16:16,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,2,,Frequently,Frequently,Sometimes,
4/30/24 16:54,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Infrequently,Infrequently,
4/30/24 16:58,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
4/30/24 18:44,Sometimes,Frequently,Frequently,Frequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Infrequently,
4/30/24 20:20,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Sometimes,
5/1/24 12:27,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,3,,Frequently,Frequently,Infrequently,
5/1/24 13:06,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Major improvement,Moderate improvement,2,,Sometimes,Frequently,Frequently,
5/1/24 13:21,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,4,,Sometimes,Infrequently,Sometimes,
5/1/24 13:27,Sometimes,Never,Infrequently,Frequently,Infrequently,Never,Never,Sometimes,Minor improvement,Moderate improvement,1,,Sometimes,Sometimes,Infrequently,
5/1/24 15:37,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Frequently,Sometimes,
5/1/24 15:37,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,None,Moderate improvement,3,,Infrequently,Infrequently,Infrequently,
5/1/24 15:55,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,1,,Frequently,Sometimes,Sometimes,
5/1/24 16:05,Sometimes,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Frequently,
5/1/24 16:06,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Infrequently,Major improvement,Moderate improvement,4,,Frequently,Frequently,Frequently,
5/1/24 16:06,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Major improvement,Moderate improvement,4,,Frequently,Infrequently,Never,
5/1/24 16:07,Sometimes,Frequently,Frequently,Infrequently,Infrequently,Sometimes,Infrequently,Never,None,Minor improvement,4,,Frequently,Sometimes,Frequently,
5/1/24 16:07,Sometimes,Frequently,Infrequently,Infrequently,Infrequently,Never,Infrequently,Never,Moderate improvement,Minor improvement,4,,Sometimes,Sometimes,Infrequently,
5/1/24 16:08,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Major improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/1/24 16:08,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Sometimes,Frequently,
5/1/24 16:08,Sometimes,Frequently,Sometimes,Infrequently,Never,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Infrequently,Infrequently,
5/1/24 16:08,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Frequently,Frequently,Sometimes,
5/1/24 16:09,Sometimes,Frequently,Frequently,Infrequently,Sometimes,Infrequently,Sometimes,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Sometimes,
5/1/24 16:09,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Frequently,Frequently,
5/1/24 16:09,Frequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Frequently,Frequently,Major improvement,Major improvement,4,,Sometimes,Infrequently,Infrequently,
5/1/24 16:10,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Sometimes,Sometimes,Sometimes,
5/1/24 16:10,Sometimes,Frequently,Frequently,Sometimes,Frequently,Infrequently,Sometimes,Frequently,Major improvement,Major improvement,4,,Frequently,Sometimes,Sometimes,
5/1/24 16:11,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/1/24 16:12,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Infrequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Frequently,
5/1/24 16:33,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Infrequently,Infrequently,
5/1/24 16:38,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,None,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/1/24 16:48,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Sometimes,Major improvement,Moderate improvement,4,,Sometimes,Infrequently,Infrequently,
5/1/24 17:34,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,None,Minor improvement,4,,Infrequently,Infrequently,Never,
5/1/24 17:37,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Never,
5/1/24 18:35,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Major improvement,Moderate improvement,4,,Sometimes,Sometimes,Sometimes,
5/1/24 18:37,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Infrequently,Infrequently,
5/1/24 19:55,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Infrequently,Infrequently,Infrequently,
5/1/24 20:53,Never,Frequently,Frequently,Never,Sometimes,Never,Never,Never,None,None,4,,Never,Never,Never,
5/1/24 21:01,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Infrequently,Never,
5/1/24 21:04,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Moderate improvement,Minor improvement,3,,Never,Never,Never,
5/1/24 21:27,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/1/24 22:25,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Infrequently,
5/1/24 22:35,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,None,Moderate improvement,4,,Frequently,Frequently,Frequently,
5/1/24 22:44,Sometimes,Frequently,Frequently,Frequently,Infrequently,Infrequently,Sometimes,Sometimes,Major improvement,Moderate improvement,4,,Frequently,Frequently,Infrequently,
5/1/24 23:29,Frequently,Frequently,Never,Frequently,Frequently,Frequently,Sometimes,Sometimes,Major improvement,Moderate improvement,4,,Sometimes,Sometimes,Infrequently,
5/1/24 23:57,Infrequently,Frequently,Frequently,Frequently,Frequently,Never,Infrequently,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Infrequently,
5/2/24 8:26,Never,Never,Never,Never,Never,Never,Never,Never,Minor improvement,None,3,,Infrequently,Infrequently,Infrequently,
5/2/24 9:19,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/2/24 10:12,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,None,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/2/24 10:32,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Major improvement,Moderate improvement,3,,Frequently,Frequently,Frequently,
5/2/24 11:17,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/2/24 12:10,Sometimes,Frequently,Frequently,Infrequently,Frequently,Infrequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Frequently,Frequently,Sometimes,
5/2/24 12:53,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Infrequently,Minor improvement,Minor improvement,3,,Never,Infrequently,Never,
5/2/24 13:52,Infrequently,Frequently,Frequently,Infrequently,Infrequently,Never,Never,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Frequently,Sometimes,
5/2/24 14:56,Sometimes,Frequently,Frequently,Infrequently,Sometimes,Frequently,Frequently,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Sometimes,
5/2/24 15:06,Never,Never,Never,Never,Never,Never,Never,Never,None,None,3,,Never,Never,Never,
5/2/24 15:07,Never,Sometimes,Never,Infrequently,Infrequently,Never,Infrequently,Infrequently,Minor improvement,Minor improvement,3,,Sometimes,Never,Infrequently,
5/2/24 15:07,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Infrequently,Sometimes,
5/2/24 15:10,Sometimes,Frequently,Sometimes,Infrequently,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Frequently,Sometimes,
5/2/24 15:14,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Frequently,Frequently,Sometimes,
5/2/24 15:27,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Infrequently,Infrequently,
5/2/24 16:22,Never,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Sometimes,Infrequently,None,Minor improvement,4,,Sometimes,Sometimes,Never,
5/2/24 16:33,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Sometimes,Infrequently,Sometimes,
5/2/24 17:07,Infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Infrequently,Minor improvement,Minor improvement,3,,Infrequently,Infrequently,Infrequently,
5/2/24 18:14,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Frequently,Sometimes,Infrequently,
5/2/24 18:30,Never,Frequently,Frequently,Infrequently,Frequently,Never,Infrequently,Sometimes,Moderate improvement,Moderate improvement,3,,Infrequently,Never,Infrequently,
5/2/24 19:19,Infrequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Sometimes,Never,Moderate improvement,Minor improvement,2,,Sometimes,Infrequently,Infrequently,
5/2/24 19:29,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,4,,Frequently,Frequently,Sometimes,
5/2/24 20:04,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Never,Never,
5/2/24 20:40,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Frequently,Infrequently,Infrequently,
5/2/24 22:24,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Major improvement,Moderate improvement,4,,Frequently,Frequently,Frequently,
5/2/24 22:48,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/2/24 22:51,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Infrequently,Infrequently,
5/3/24 10:57,Sometimes,Frequently,Frequently,Frequently,Sometimes,Infrequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Infrequently,Never,
5/3/24 12:15,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,4,,Sometimes,Infrequently,Infrequently,
5/3/24 12:48,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Infrequently,Moderate improvement,Minor improvement,3,,Sometimes,Never,Never,
5/3/24 13:00,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Infrequently,Infrequently,
5/3/24 13:25,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,4,,Infrequently,Sometimes,Infrequently,
5/3/24 14:40,Infrequently,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Infrequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/3/24 15:30,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Frequently,Sometimes,Sometimes,
5/3/24 15:43,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Never,Moderate improvement,Minor improvement,4,,Sometimes,Never,Infrequently,
5/3/24 16:07,Frequently,Sometimes,Frequently,Sometimes,Infrequently,Never,Sometimes,Frequently,Minor improvement,Moderate improvement,3,,Sometimes,Frequently,Infrequently,
5/3/24 19:42,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,3,,Sometimes,Sometimes,Sometimes,
5/3/24 23:18,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Moderate improvement,Major improvement,4,,Sometimes,Sometimes,Frequently,
5/4/24 11:02,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Infrequently,Sometimes,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Infrequently,Infrequently,
5/4/24 12:20,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Moderate improvement,Moderate improvement,3,,Sometimes,Sometimes,Sometimes,
5/4/24 12:24,Infrequently,Sometimes,Sometimes,Sometimes,Infrequently,Infrequently,Sometimes,Infrequently,Moderate improvement,Minor improvement,3,,Never,Never,Never,
5/4/24 12:27,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Major improvement,Major improvement,3,,Sometimes,Sometimes,Infrequently,
